category_id,name_ukr,tag,library_folder,has_images
100,Томати,tomato,pomidori,Yes
101,Томати високорослі,tomato-small,pomidori,Yes
102,Томати середньорослі,tomato-mid,pomidori,Yes
103,Томати низькорослі,tomato-large,pomidori,Yes
110,Огірки,cucumber,ogirki,Yes
120,Капуста ,cabbage,kapusta,Yes
121,Капуста білокачанна,cabbage-white,kapusta,Yes
122,Капуста цвітна,cabbage-color,kapusta,Yes
123,Капуста червонокачанна,cabbage-red,kapusta,Yes
124,Різновиди капусти,cabbage-other,kapusta,Yes
130,Редис,radish,,No
140,Перець ,pepper,,No
141,Перець солодкий,pepper-sweet,,No
142,Перець гіркий,pepper-hot,,No
150,Баклажани,eggplant,baklazhan,Yes
160,Цибуля,onion,,No
170,Морква,carrot,morkva,Yes
180,Буряк,beet,buryak,Yes
190,Кавуни,watermelon,kavun,Yes
200,Дині,melon,dinya,Yes
210,Гарбузи,pumpkin,garbuz,Yes
220,Кабачки,marrow-squash,kabachok,Yes
230,Патисони,squash,,No
240,Зелені культури,green-crops,,No
250,Пряносмакові культури,spicy-crops,,No
260,Газонні трави,lawn-grass,,No
270,Бобові культури,bean-crops,goroh,Yes
280,Квасоля ,beans,kvaso,Yes
281,Квасоля спаржева,asparagus-beans,kvaso,Yes
282,Квасоля зернова,cereal-beans,kvaso,Yes
290,Кукурудза,corn,kukurudza,Yes
300,Суниця,strawberry,,No
310,Рідкісні культури,rare-cultures,,No
320,Лікарські рослини,medicine,,No
330,Квіти,flowers,kviti,Yes
331,Квіти однорічні,annual-flowes,kviti-aystra,Yes
332,Квіти багаторічні,perennial-flowers,kviti,Yes
340,Бобові,bobovi,goroh,Yes
