id,name,parentId,tag,description (ukr),primary_image
100,Томати,,tomato,Томати відносяться до роду пасльонових. Рослина рясніє великою кількістю сортів. Поширений овоч по всьому світу.,c100.jpg
101,Томати високорослі,100,tomato-small,"Відмітна риса високорослих томатів, висота стебла іноді досягає 2,50 м, цим обумовлюється велика віддача врожаю. Іноді з куща можна зняти до 8 кг плодів.",c101.jpg
102,Томати середньорослі,100,tomato-mid,"Середньорослі томати зібрали в собі найкращі якості високорослих і низькорослих сортів, зазвичай вирощуються в два стебла.",c102.jpg
103,Томати низькорослі,100,tomato-large,"Низькорослі сорти томатів відрізняються швидкою віддачею, формуючи невелику кількість кистей, дружним дозріванням.",c103.jpg
110,Огірки,,cucumber,"Найпопулярнійшої овочевий продукт, який можна випращівать цілий рік. Невибагливий, а так же незамінний в салатах.",c110.jpg
120,Капуста ,,cabbage,"Капуста - цариця серед овочів, дуже популярний продукт. Займає одне з перших місць в світі по вирощуванню.",c120.jpg
121,Капуста білокачанна,120,cabbage-white,Різновид сімейства хрестоцвітних. Налічує близько 400 сортів різних термінів дозрівання.,c121.jpg
122,Капуста цвітна,120,cabbage-color,"Цвітна капуста має однорічний цикл розвитку, різноманіття сортів дивує своєю незвичністю. Має високі смакові якості.",c122.jpg
123,Капуста червонокачанна,120,cabbage-red,"Це вид капусти містить велику кількість макро і мікро елементів, стійкий до захворювань, добре зберігається і дуже смачний в салатах.",c123.jpg
124,Різновиди капусти,120,cabbage-other,"Різновидів існує багато і всі вони разюче відрізняються один від одного, але об'єднує їх одне - всі вони капуста.",
130,Редис,,radish,"Редис характерний ранніми термінами дозрівання, саме з нього роблять перші салати після зими.",c130.jpg
140,Перець ,,pepper,"Будь-яка кухня світу використовує перець, як необхідний компонент перших і других страв. Високий вміст вітаміну С, а так само інших корисних мікроелементів робить його незамінним.",c140.jpg
141,Перець солодкий,140,pepper-sweet,Солодкі перці мають дуже привабливий вигляд. М'ясисті і смачні.,c141.jpg
142,Перець гіркий,140,pepper-hot,Культурних сортів гострого перцю близько 3000. Добре зберігається в сушеному вигляді.,c142.jpg
150,Баклажани,,eggplant,Ця рослина ставитися до роду пасльонових і вирощується як однорічник. У їжу вживають злегка недозрілі плоди так вони смачніші.,c150.jpg
160,Цибуля,,onion,"Різноманітність сортів луків не припиняє дивувати: однорічні, дворічні і навіть багаторічні. Багаті зеленню обеспечиват вітамінами круглий рік.",c160.jpg
170,Морква,,carrot,"Морква містить масу корисних речовин - це каротин, солі, калію, пектини, вітаміни А, В, С, Д. Широко застосовується в кулінарії, не замінна в дитячому харчуванні.",c170.jpg
180,Буряк,,beet,"Буряк має дуже високими смаковими і лікувальними властивостями, збагачена йодом, вітамінами А і В, покращує обмін речовин. У деяких сортів використовують і коренеплоди і надземну частину.",c180.jpg
190,Кавуни,,watermelon,"Рослина поширилося з Африки, пройшло довгий селекційний шлях. На сьогодні це - однорічна стелеться трава з кавалками листям. Плід кавуна - соковита ягода з безліччю насіння.",c190.jpg
200,Дині,,melon,"Традиційна баштанних культур для степової зони. Головне дати рослині більше тепла і сонця. Урожай, при дотриманні агротехніки обробітку, можна отримати вже в кінці червня.",c200.jpg
210,Гарбузи,,pumpkin,"За кількістю вмісту заліза, гарбуз - чемпіон серед овочів. Гарбузове насіння джерело масел, багатих мікроелементами. Її соковита м'якоть використовується в дієтології.",c210.jpg
220,Кабачки,,marrow-squash,"Кабачок - цукіні продукт, низькокалорійний і легкозасвоюваний організмом, тому його використовують в дієтології і в дитячому харчуванні.",c220.jpg
230,Патисони,,squash,"Плоди патисонів тонкокорие. М'якоть білосніжна, хрустка і дуже щільна. Малюками зазвичай підходять для консервації, а більші плоди використовують в кулінарії.",c230.jpg
240,Зелені культури,,green-crops,"Ранні вітаміни на столах - зелені культури. Всі різновиди салатів, шпинат, щавель, спаржа, черемша.", c240.jpg
250,Пряносмакові культури,,spicy-crops,"До групи пряно-смакових культур входять трави, які використовуються як приправи: майоран, кріп, чабер і багато-багато інших однорічних і багаторічних рослин. Вони відносно холодостійкі.",c250.jpg
260,Газонні трави,,lawn-grass,"Газзоние трави застосовують там, де природне різнотрав'я не справляється зі своїми завданнями. Їх застосовують в декоруванні ділянок, облаштуванні парків і зон відпочинку.",c260.jpg
270,Бобові культури,,bean-crops,Різноманітність видів сімейства бобових - величезна. Застосовують їх як продукт харчування.,c270.jpg
280,Квасоля ,,beans,"Квасоля відноситься до розряду бобових з за того, що має стручкову форму заповнену зернами і тим не менше це відмінне від бобових рослина, що має дуже багато різних сортів.",c280.jpg
281,Квасоля спаржева,280,asparagus-beans,"Спаржева квасоля вирощується заради смачних стулок: у них відсутній пергаментний прошарок, тому квасоля вживається в їжу цілком. Смаком нагадує спаржу.",c281.jpg
282,Квасоля зернова,280,cereal-beans,Лущильні сорти квасолі вирощуються виключно для вживання в їжу зерен: дуже поживних і містять велику кількість білка.,c282.jpg
290,Кукурудза,,corn,"Кукурудза - цариця полів, це однорічна трав'яниста рослина відноситься до злакових культур.",c290.jpg
300,Суниця,,strawberry,"Суниці включають, як дикорослі так і культурні форми. Вона не дуже вимоглива до ґрунтових складам і навколишніх умов. Можна вирощувати і на сонячних грядках і на затінених ділянках. Урожай зазвичай отримують в першій половині літа.",c300.jpg
310,Рідкісні культури,,rare-cultures,"Ми всі звикли до стандартного набору овочів, але існує багато овочів не звичних ні для нашого ока ні для нашого смаку. Чому б не спробувати виростити ці екзоти.",c310.jpg
320,Лікарські рослини,,medicine,"Більшість лікарських рослин збирають в дикій природі, але все частіше і частіше, лікарські рослини стали вирощувати на присадибних ділянках, що гарантує чистоту і якість зібраної сировини.",c320.jpg
330,Квіти,,flowers,"Аромати, різноманітність кольору, ніжність, трепет і любов - все це відноситься до багатотисячної армії квітів всіх видів, всіх категорій і всіх національностей.",c330.jpg
331,Квіти однорічні,700,annual-flowes,"Великий діапазон кольорів, багатий вибір форм, різниця термінів цвітіння - дає можливість створювати будь-які композиції. І те, що рослини однорічні - дозволяє експериментувати нескінченно.",c331.jpg
332,Квіти багаторічні,700,perennial-flowers,"Багаторічники зазвичай дають можливість формувати композиції на кілька років вперед. Прекрасно сусідять зі своїми побратимами і не вибагливі до ґрунту. Це і високорослі, і цибулинні (типу мускари або птицемлечник), і стелящиеся почвопокривні рослини.",c332.jpg
400,Добрива та захист,,,Добрива та захист,c400.jpg
500,Товари для саду та городу,,,Товари для саду та городу,c500.jpg
501,Інсектициди,400,,Інсектициди,c501.jpg
504,Біопрепарати,400,,Біопрепарати,c504.jpg
401,Гербіциди,400,,,c401.jpg
