id,Название (укр),Название (рус),Описание (укр),Описание (рус),primary_image,category_id,subcategory_id,product_id,validated,year,availability,images,tags,price,weight,length,width,height,model,seo,created_at,updated_at,status,sku,quantity,minimum,subtract,stock_status_id,shipping,points,weight_class_id,length_class_id,sort_order,viewed,date_available,date_added,date_modified,created_from_gallery
1,Амурський тигр,Амурский тигр,"Високий кущ з щільними червоними плодами з довгими жовтими смужками, тонкою шкіркою з послідовним дозріванням. Стійкий до хвороб.","Высокорослый куст с плотными плодами красного цвета с продолговатыми желтыми полосками, тонкокожие с последовательным созреванием. Устойчив к болезням.",p100001.jpg,100,101,p1001,1,2025,1,"p100001_1.jpg,p100001_2.jpg","tall,red,yellow,firm,disease_resistant,thin_skin",10,3,,,,p100001,amurskyi-tyhr,,,,,,,,,,,,,,,,,,
2,Апельсин,Аппельсин,"Рослина висотою до 2 метрів, плоди великі жовті, округлої форми, міцні, добре дозрівають, масою до 300 г, сорт для алергіків.","Растение высотой до 2-х метров, плоды крупные желтые округлой формы, крепкие, дозревают хорошо в собранном виде, массой до 300гр, сорт для аллергиков.",p100002.jpg,100,102,p1002,1,2025,1,,"yellow,round",,,,,,p100002,apelsyn,,,,,,,,,,,,,,,,,,
3,Банан оранжевий,Банан оранжевой,"Ранній урожайний сорт, високорослий з мясистими плодами оранжевого кольору, плоди подовжені з солодким смаком, стійкий до хворіб.","Ранний урожайный сорт, высокорослый с мясистыми плодами оранжевого цвета, плоды продолговатые со сладким вкусом, устойчив к болезням.",p100003.jpg,100,102,p1003,1,2025,1,,"early,tall,orange,elongated,sweet,meaty,disease_resistant,high_yield",,,,,,p100003,banan-oranzhevyi,,,,,,,,,,,,,,,,,,
4,Бичий лоб,Бычий лоб,"Середньо-стиглий сорт сибірської селекції індетермінантного типу для відкритого грунту плід округло-ребристий масою до 600гр, салатного типу.","Среднеспелый сорт сибирской селекции индетерминантного типа для открытого грунта, плод округло-ребристый массой до 600гр, салатного типа.",p100004.jpg,100,101,p1004,1,,1,,"mid_maturing,determinate,indeterminate,salad,round,open_field",,,,,,p100004,bychyi-lob,,,,,,,,,,,,,,,,,,
5,Бояриня,Бояриня,"Один з нових сортів, високорослий, середньо-стиглий сорт плоди червоні округлі, придатний для переробки і вживання в свіжому вигляді дуже смачний","Один из новых сортов, высокорослый, среднеспелый сорт, плоды красные округлые, пригоден для переработки и употребления в свежем виде",p100005.jpg,100,101,p1005,1,2025,,,"mid_maturing,tall,fresh,red,round",,,,,,p100005,boiarynia,,,,,,,,,,,,,,,,,,
6,Ведмежа лапа,Медвежья лапа,"Оригінальний посухостійкий, середньопізній сорт, вегетація 110-115 днів. Невизначена рослина 1, 5-2, 00м, плоди рожеві 400-1200 грам ваги.","Оригинальный засухоустойчивый, среднепоздний сорт, вегетация 110-115 дней. Растение индетерминантное 1, 5-2, 00м, розовые плоды 400-1200 грамм массой.",p100006.jpg,100,101,p1006,1,2026,1,,"mid_late,late,determinate,indeterminate,pink,drought_tolerant",,,,,,p100006,vedmezha-lapa,,,,,,,,,,,,,,,,,,
7,Волове серце жовте,Воловое серде желтое,"Пізньо-стиглий сорт народної селекції, потребує підвязки, для відкритого грунту, плоди великі мясисті, малонасінневі, жовті, салатні, смачні.","Позднеспелый сорт народной селекции, требует подвязки, для открытого грунта, плоды крупные мясистые, малосемянные, желтые, салатные, вкусные.",p100007.jpg,100,101,p1007,1,,1,,"late,salad,yellow,meaty,open_field,needs_trellis,few_seeds",,,,,,p100007,volove-sertse-zhovte,,,,,,,,,,,,,,,,,,
8,Волове серце оранжеве,Воловое сердце оранжевое,"Пізньо-стиглий сорт народної селекції, потребує  підвязки, для відкритого грунту. Плоди великі, мясисті, малонасінневі, оранжеві, салатні, смачні першого забору досягають 400- 600гр","Позднеспелый сорт народной селекции, требует подвязки, для открытого грунта, плоды крупные, мясистые, малосемянные, оранжевые, салатные, вкусные, достигают веса 400 - 600 гр",p100008.jpg,100,,p1008,1,,1,,"late,salad,orange,meaty,open_field,needs_trellis,few_seeds",,,,,,p100008,volove-sertse-oranzheve,,,,,,,,,,,,,,,,,,
9,Волове серце рожеве,Воловое сердце розовое,"Пізньостиглий сорт народної селекції, вимагає підв 'язки, для відкритого грунту плоди великі, м' ясисті, малонасінні, рожеві, салатні, смачні","Позднеспелый сорт народной селекции, требует подвязки, для открытого грунта, плоды крупные, мясистые, малосемянные, розовые, салатные, вкусные",p100009.jpg,100,101,p1009,1,,1,,"late,salad,pink,meaty,open_field,needs_trellis,few_seeds",,,,,,p100009,volove-sertse-rozheve,,,,,,,,,,,,,,,,,,
10,Волове серце рожево-малиновий,Воловое сердце малиновое,"Пізньо-стиглий сорт народної селекції, потребує підвязки, для відкритого грунту, плоди великі, мясисті, малонасінневі, малинові, салатні, смачні.","Позднеспелый сорт народной селекции, требует подвязки, для открытого грунта, плоды крупные, мясистые, малосемянные, малиновые, салатные, вкусные.",p100010.jpg,100,,p10010,1,,,p100010_1.jpg,"late,salad,pink,raspberry,meaty,open_field,needs_trellis,few_seeds",,,,,,p100010,volove-sertse-rozhevo-malynovyi,,,,,,,,,,,,,,,,,,
11,Волове серце червоний,Воловое сердце красное,"Середньостиглий сорт народної селекції, вимагає підв 'язки, для відкритого грунту плоди великі, м' ясисті, малонасінні, червоні, салатні, смачні.","Среднеспелый сорт народной селекции, требует подвязки, для открытого грунта, плоды крупные, мясистые, малосемянные, красные, салатные, вкусные.",p100011.jpg,100,101,p10011,1,,1,,"mid_maturing,salad,red,meaty,open_field,needs_trellis,few_seeds",,,,,,p100011,volove-sertse-chervonyi,,,,,,,,,,,,,,,,,,
12,Гігант лимонний,Гигант лимонный,"Середньостигдий сорт морозостійкий, тіньовиносливий, потребує підвязки, для відкритого грунту, плоди великі, мясисті, малонасінневі, округлі, жовті до 800гр маса.","Среднеспелый сорт, зимостойкий, теневиносливый,  требует подвязки, для открытого грунта, плоды крупные, мясистые, малосемянные, округлые, желтые до 800гр масса.",p100012.jpg,100,,p10012,1,,1,,"mid_maturing,yellow,round,meaty,cold_tolerant,shade_tolerant,open_field,needs_trellis,few_seeds",,,,,,p100012,hihant-lymonnyi,,,,,,,,,,,,,,,,,,
13,Дамські пальчики,Дамские пальчики,"Ранньостиглий сорт, плодоношення починається на 100-110 добу з розсади, висока рослина, плоди витягнуті, зібрані в щітки по 6-8 штук, рожеві, красиві.","Раннеспелый сорт, плодоношение начинается на 100-110 день от всходов, высокорослое растение, плоды вытянутые, собранные в кисти по 6-8 шт, розовые, красивые.",p100013.jpg,100,101,p10013,1,,1,,"early_maturing,tall,pink",,,,,,p100013,damski-palchyky,,,,,,,,,,,,,,,,,,
14,Де барао оранжевий,Де Барао оранжевый,"Середньопізній сорт відкритого грунту, але має якості кімнатного вирощування, висотою до 2,5-3,00 м. Пучок розгалужений. Плід помаранчева сливка, високоврожайний.","Среднепоздний сорт открытого грунта, но имеет качества комнатного выращивания, высотой до 2, 5-3, 00 м. Гроздь разветвленная. Сливка оранжевая, урожайная.",p100014.jpg,100,101,p10014,1,,1,,"mid_late,late,orange,plum,open_field,high_yield",,,,,,p100014,de-barao-oranzhevyi,,,,,,,,,,,,,,,,,,
