id,title,description_long,category_id,subcategory_id,tags,weight,price,image
01001,Ранньостиглій гібрід формує пучкову завязь  крупногорбкуваті з ніжною шкірою без гіркоти,1. Ранньостиглій гібрід формує пучкову завязь крупногорбкуваті з ніжною шкірою без гіркоти,1,,,,,p_01001_1.jpg
01002,Пригоден для всех видов  переработки устойчив к болезням,2. Пригоден для всех видов переработки устойчив к болезням,1,,,,,p_01002_1.jpg
01003,Еще один фрукт который очень полезен осенью  инжир,3. Еще один фрукт который очень полезен осенью инжир,1,,,,,p_01003_1.jpg
21004,Масса плода 86-105 г,"4. Масса плода 86-105 г 19:29 284 Калифорнийское чудо. Среднеспелый, высокоурожайный сорт. Для выращивания в пленочных теплицах и открытом грунте. Растения высотой 60-75 см. Плоды мясистые, кубовидной формы с ребристой поверхностью, ярко-красного цвета. 19:33 285 Ласточка.Раннеспелый. Техническая спелость наступает через 120-122 дня после всходов. Растение полураскидистое, штамбовое, среднерослое (45-50 см). Плоды пониклые, конусовидные, длиной 8-10 см, в технической спелости – светло-зеленые, в биологической – красные. 19:36",21,,середній;ранній;сорт;високоврожайний,86-105,,p_21004_1.jpg
19006,Вкусовые качества хорошие,"6. Вкусовые качества хорошие. Ценится за высокую урожайность, дружное созревание плодов. Используют для потребления в свежем виде, изготовления томатного сока, пасты, пюре, а также для засолки. 21:31",19,,,,,p_19006_1.jpg
01009,В киви и манго  довольно много витамина K,9. В киви и манго довольно много витамина K,1,,,,,p_01009_1.jpg
01010,Вкус отличный,"10. Вкус отличный. Транспортабельность высокая. Лежкий, относительно устойчив к болезням. На рассаду высевают в начале марта. На постоянное место высаживают во второй декаде мая . 16:05",1,,,,,p_01010_1.jpg
13033,Сливка гигант красная,"33. Сливка гигант красная.Плоды крупные сливо - видные вкусные , транспортабелные, употребляют в свежем переработанном и консервированном виде. 14 July 2020 М 18:23 Мама 18:24 Вова нам может такой надо ,кусторез безпроводный всего 800 гр 18:24 ,на аккамуляторе акамулятор заряжается 3 часа 18:25 Германия ,вроде должен быт хороший VG 19:05 Vladimir Gogunsky https://epicentrk.ua/ua/shop/trimmer-elektricheskiy-gartner-bce-1940.html 11 August 2020 М 14:43 Мама 14:44 БЛЕВО - Синий туман. 15 August 2020 М 17:04 Мама Я СОСУДОВ Отвар на основе сочетания целебных трав поможет вам укрепить сосуды, особенно это актуально для страдающих сахарным диабетом и вегетососудистой дистонией, а также всем тем, кого мучают головные боли от перенапряжения и стресса. Целебный травяной отвар – уникальный рецепт: Необходимо смешать в равных пропорциях пустырник, зверобой, корни валерианы и листья мелиссы, две столовые ложки смеси трав залить 300 мл кипящей воды, настаиваем в течение получаса, процеживаем. Принимать целебный отвар следует по 100 мл три раза в день за полчаса до еды. Курс исцеления – одна неделя. Пустырник снимет спазм сосудов, а также поможет успокоить нервную систему, нормализовать сердечный ритм, снизить артериальное давление и уровень холестерина в крови. Зверобой помогает восстановить поврежденные ткани, нормализовать сон, повысить работоспособность, сочетание зверобоя и мелиссы помогает нервной системе сосредоточиться на решение трудных задач. Валериана применяется при возбудимости нервной системе, проблемах со сном, сосудистых спазмах, повышенном давлении, головных болей и при общих нарушениях работы нервной системы, вызванных стрессами и расстройствами. Мелисса обладает выраженным успокаивающим действием, кроме того она прекрасный спазмолитик, помогает нормализовать работу сердечно-сосудистой системы и сон. 28 August 2020 М 17:54 Мама Свекла – это не только борщ, селёдка под «шубой» и винегрет. Но и огромная польза для здоровья. И особенно приятно, что это не какая-нибудь заморская экзотика, а родной суперпродукт, доступный для всех. Так считает Дмитрий Юрьевич Тимофеев, потомственный огородник, народный целитель, а в прошлом врач-эпидемиолог из Владимира. https://bit.ly/3b2tkA9 М 21:42 Мама Не выбрасывайте кофейную гущу.🤭Используйте ее в компосте Кофейная гуща также может укрепить садовый компост микроэлементами. Дополнительный фосфор, азот и калий на земле могут помочь вашим растениям превратить солнечный свет в энергию, а также сохранить влагу. Используйте ее в качестве избавления от вредителей Кофейная гуща может эффективно отражать садовых вредителей, особенно слизней и улиток. Посыпьте ею вокруг вашего сада, чтобы держать этих вредителей в страхе. Используйте как удобрения Вы также можете добавить кофейную гущу в почву. Это добавит органическое вещество, улучшит аэрацию и удержание воды. 21:52 🌶🥕🥝Свекла Детройт лидирует по вкусовым качествам среди среднеспелых сортов.ранние посадки дают более ранний урожай так называемый летний сбор, что позволяет использовать ее в блюдах практически круглый год тем более , свекла очен полезна. 13 September 2020 М 00:15 Мама Какие фрукты и овощи стоит есть осенью и зимой? Для полноценного питания отказываться от фруктов и овощей, даже привозных, не следует. Однако зимой желательно все же выбирать наиболее полезные продукты и обращать внимание на происхождение овощей и фруктов. Общеизвестно, что апельсины и мандарины организму нужны ради витамина C. Но этим их польза не исчерпывается. Апельсины и мандарины являются источником крайне важного витамина B",13,,сорт,800,,p_13033_1.jpg
19042,Американский ребристый,"42. Американский ребристый. Новый супер - урожайный средне - спелый сорт томата, плоды крупные, огненно - красные относится к салатным сортам томатов. Отличается большой устойчивостью к фитофторозу, вес плода от 400гр до 1 кг. В пленочном укрытии урожай выше чем в открытом грунте, но можно использовать оба вида выращивания. М 18:20 Мама",19,,сорт,400000,,p_19042_1.jpg
21043,Аврора,"43. Аврора. Ультраскороспелый ,низкорослый сорт, от всходов до созревания 79 - 85 дней, детерминантный, плоды округлые интенсивно красного цвета без зеленого пятна у плодоножки. Урожайность 9 -12 кг с м",21,,сорт,12000,,p_21043_1.jpg
19044,Аризона,"44. Аризона. Томат отличается тем что , можно сажать не только рассадой ,но и семенами в открытый грунт, среднеспелый сорт,плод округлый,крепкий массой от 100- 140гр. Пригоден для всех видов переработок, очень вкусный в свежем виде. М 20:57 Мама 45,Баллада. Среднеспелый сорт для открытого грунта,высаживается на хорошо прогретые участки защищенные от холодных ветров. Плод плоско округлой формы, темно - красного цвета, массой130-180гр. Урожайный,транспортабельный, вкусный. М 21:44 Мама 46 Белый налив",19,,середній;сорт;смачний,140,,p_19044_1.jpg
01047,Волгоградский323,47. Волгоградский,1,,,,,p_01047_1.jpg
19048,Волгоградский 323,"48. Волгоградский 323 . Базовый сорт, растение насыщенного темно зеленого окраса стеблей,очень ранний. Плод округлый слабо приплюснутый темно красного цвета,салатного назначения но и вкусные томатные соки ,кетчупы ,пасты. 15 October 2020 М 10:41 Мама 49,Волгоградский 5/",19,,сорт,,,p_19048_1.jpg
01051,Волгоградский  розовый,"51. Волгоградский розовый. Раннеспелый сорт для выращивания в открытом грунте , вегетационный период 95-105 дней. Плоды округлые ,гладкие, розово малинового окраса, массой 80-100гр, Характеризуется дружным созреванием и хорошей транспортабельностью. 11:02 11:10 51, Волгоградский розовый. Раннеспелый сорт для выращивания в открытом грунте вегетационный период 95-100 дней Характеризуется дружным созреванием и хорошей транспортабельностью. М 12:10 Мама 12:14",1,,ранній;сорт,80-100,,p_01051_1.jpg
21052,Шедевр Рудаса,52. Шедевр Рудаса. Селекционный сорт с очень длинным сроком хранения до 4 месяцев. Плоды среднего размера с плотной кожурой красно-оранжевого цвета мякоть имеет более интенсивную окраску . Сорт очень урожайний. 12:22,21,,сорт,,,p_21052_1.jpg
01053,Господар,"53. Господар. Сорт выведен в Украинском НИИ. Плоды крупные, плотные, красные вкусовые и товарные качества отличные. Перспективный сорт для открытого грунта так как устойчив к фитофторозу. 12:30",1,,сорт,,,p_01053_1.jpg
01054,Господар,"54.Господар. Украинский сорт, детерминантного типа слабо облиственный. Плоды красные крупные отличного вкуса. Устойчив к грибковым заболеваниям. 12:44",1,,сорт,,,p_01054_1.jpg
19055,Дар Заволжья,"55.Дар Заволжья . Среднеранний сорт, сроком созревания 110-112 дней, куст низкий, компактный. Плоды красные ,круглые со слабо выраженным кончиком. Дружное созревание , высокая транспортабельность отличают сорт. Потребление в свежем виде , засолке, переработке на томаты,пасты , соки. Сорт очень продуктивен. 12:55",19,,сорт,,,p_19055_1.jpg
01056,Дар Заволжья розовый,"56. Дар Заволжья розовый. Среднеранний сорт ,сроком созревания 110-112 дней , куст низкий, компактный, плоды розовые, круглые со слабо выраженным кончиком, транспортабельные. Используются как в свежем виде, так и в переработанном. Сорт очень продуктивен. 13:01",1,,сорт,,,p_01056_1.jpg
01057,Дар Заволжья,"57. Дар Заволжья. Среднеранний сорт, сроки созревания 110-112 дней, куст низкий, компактный. Плоды круглые, красные со слабо выраженным кончиком. Дружное созревание и высокая транспортабельность отличают сорт. Употребляется в свежем виде и во всех видах переработок. Сорт очень продуктивен. М 13:44 Мама",1,,сорт,,,p_01057_1.jpg
21058,Демидов,"58. Демидов. Сорт относится к раннеспелым имеет характерную темно -зеленую окраску куста, напоминающую куст картофеля. Плоды круглой формы с незначительной ребристостью , интенсивно розового. цвета сорт достаточно устойчив к перепадам температур и влажности. Плоды сладкие очень вкусные и красивые. 13:55",21,,сорт,,,p_21058_1.jpg
01059,Джина,"59.Джина. Среднеспелый очень урожайный сорт рекомендуется для выращивания в открытом грунте как рассадным, так и без рассадным способом. Устойчив к заболеваниям.Плоды круглые красные массой до 200гр. Пригодны для всех видов переработки и вкусные в свежем виде. 14:04",1,,середній;сорт,200,,p_01059_1.jpg
21060,Дубок,"60. Дубок. Раннеспелый сорт (90-95)дней. Куст компактный 40-50см высотой. Плоды красного цвета мякоть сочная, плотная ,сладкая массой 120гр.Устойчив к фитофторозу Урожайность7кг см/2 М 14:25 Мама",21,,ранній;сорт,120000,,p_21060_1.jpg
01061,Эфемер F1,61. Эфемер F,1,,,,,p_01061_1.jpg
21062,Иришка,"62. Иришка.Ультраранний высокоурожайный сорт с дружным дозреванием плодов. Вегетационный период от всходов до начала созревания- 87- 92 дня. Плоды ярко красного цвета, без зеленого пятна у основания, овальной формы, гладкие,средним весом 20- 25 грамм. Сорт характеризируется устойчивостью к фитофторозу. Используют в свежем виде и для переработки. М 15:03 Мама Ультраранний высокоурожайный сорт с дружным дозреванием плодов. Вегетационный период от всходов до начала созревания- 87- 92 дня. Плоды ярко красного цвета, без зеленого пятна у основания, овальной формы, гладкие,средним весом 20- 25 грамм. Сорт характеризируется устойчивостью к фитофторозу. Используют в свежем виде и для переработки, засолки, цельноплодного консервирования. 15:10",21,,високоврожайний;сорт,25,,p_21062_1.jpg
21063,Иришка,"63. Иришка. Ультраранний, высокоуро-жайный сорт с дружным созреванием плодов. Вегетационный период 87-92 дн. Плоды ярко красного цвета овальной формы гладкие весом 25гр и больше . Сорт устойчив к фитофторозу. Используется в свежем виде пригоден для переработки. 15:18 64 Катюша F /1 . Ультраскороспелый гибрид для открытого грунта весенних пленочных теплиц.Созревание плодов через 80 дней после появления всходов с дружной отдачей урожая. Растение детерминантное, высотой 70-80 см. Соцветие простое с 5-6 плодами, массой 100-110 г. Окраска незрелого плода – белая, зрелого – ярко-красная без зеленого пятна у плодоножки. Первое соцветие закладывается над 5-6 листом. Плоды плоско-округлые, плотные, транспортабельные 15:28",21,,сорт;гібрид,100-110,,p_21063_1.jpg
21065,КатюшаF1Ультраскороспелый гибрид для открытого грунта  весенних пленочных теплиц,"65. КатюшаF1Ультраскороспелый гибрид для открытого грунта весенних пленочных теплиц.Созревание плодов через 80 дней после появления всходов с дружной отдачей урожая. Растение детерминантное, высотой 70-80 см. Соцветие простое с 5-6 плодами, массой 100- 110 г. Окраска незрелого плода – белая, зрелого – ярко-красная/ 15:41",21,,гібрид,110,,p_21065_1.jpg
01066,Кибиц,"66. Кибиц.Сверхранний сорт, от высадки до сбора проходит 68 дней. Растение карликовое с вытянутыми стеблями. Плоды красные, удлиненные, массой60г.Рекомендуются для выращивания в открытом грунте. Используют в свежем виде, для переработки, цельноплодного консервирования. На рассаду высевают в начале марта. М 15:56 Мама",1,,сорт,60,,p_01066_1.jpg
01067,Колхозный,"67. Колхозный. Популярный сорт среднего срока созревания. Растение низкорослое, полураскидистое. Плоды круглые, ровные, красные, массой 110-120г. Вкусовые качества хорошие,урожайность высокая. Пригоден для употребления в свежем виде, консервирования и для переработки. 16:01",1,,сорт,110-120,,p_01067_1.jpg
01068,Кременчуцький,"68. Кременчуцький.Раннеспелый, универсальный, до созревания 95-105 дней. Куст компактный низкий. Плод плоскоокруглый, красный, массой 114-132г, камер 5-",1,,ранній,114-132,,p_01068_1.jpg
01069,Кременчуцький,"69. Кременчуцький. Раннеспелый, универсальный, до созревания 95-105 дней. Куст компактный низкий. Плод плоскоокруглый, красный, массой 114-132г, камер 5-",1,,ранній,114-132,,p_01069_1.jpg
01072,Линда,"72. Линда.Низкорослый сорт, предназначен для выращивания в горшках и балконных ящиках. Также возможно выращивание в открытом грунте. Куст высотой 25 см, много пасынков с большим количеством плодов. Плоды массой 30-40 г, приятные на вкус. Универсального использования. Культура тепло-и светолюбивая. Выращивать рассадой или посевом семян в грунт. 16:25",1,,сорт,30-40,,p_01072_1.jpg
19073,Любимый,"73. Любимый.Среднеспелый сорт для открытого грунта. От всходов до начала созревания- 100- 112 дней. Растение детерминантное, высотой 75 см. Плод красный, округлый или плоскоокруглый, мясистый, сладкий, массой 115- 230 грамм, с высоким содержанием сухих веществ. Универсального использования. Предназначен для употребления в свежемвиде и переработки на томато- продукты. 16:32",19,,середній;сорт,230,,p_19073_1.jpg
01074,Ляна,"74. Ляна.Сорт очень ранний, дружно созревающий, высокоурожайный. Плодоношение начинается через 87-93 дня после появления всходов. Растение детерминантное. Плоды округлые, плотные, красные. Масса плода 80-100 г. Вкусовые качества хорошие. Период уборки растянутый. Урожайность в открытом грунте 4,5-6 кг/кв.м. Плоды пригодны для транспортировки на дальние расстояния. 16:38",1,,високоврожайний;сорт,80000-100000,,p_01074_1.jpg
01075,Чайка,"75. Чайка.Среднеспелый сорт. Растение низкорослое, компактное. Листья прочные, темно-зелёные, сильно гофрированные. Плоды округлые, ровные, гладкие, без зелёного пятна возле плодоножки, массой 70-90 г. Плоды отличаются , устойчивостью к растрес-киванию, имеют очень привлекательный внешний вид и хорошие вкусовые качества 16:44",1,,середній;сорт,70-90,,p_01075_1.jpg
01076,Чайка,"76. Чайка.Среднеспелый сорт. Растение низкорослое, компактное. Листья прочные, темно-зелёные, сильно гофрированные. Плоды округлые, ровные, гладкие, без зелёного пятна возле плодоножки, массой 70-90 г. Плоды отличаются выравненностью, устойчивостью к перезреванию и растрескиванию. 16:49",1,,середній;сорт,70-90,,p_01076_1.jpg
19077,Мобил,"77. Мобил.Среднеранний сорт с вегетационным периодом 115-120 дней, высокоурожайный. Куст компактный, среднерослый. Плоды массой 90-120 г. Вкусовые качества высокие,транспортабельность хорошая. Обладает устойчивость к болезням. Используют для потребления в свежем виде,изготовления томатного сока, пасты, пюре. 16:54",19,,високоврожайний;сорт,90-120,,p_19077_1.jpg
01078,Мобил,"78. Мобил.Среднеранний сорт с вегетационным периодом 115-120 дней, высокоурожайный. Куст компактный, среднерослый. Плоды гладкие, массой 90-120 г. Вкусовые качества высокие, транспортабельность хорошая. Обладает устойчивость к болезням. Используют для потребления в свежем виде 16:54",1,,високоврожайний;сорт,90-120,,p_01078_1.jpg
