category,group_id,group,tag_id,key,ua,ru
100,color,Color,black,black,Чорний,Чёрный
100,color,Color,brown,brown,Коричневий,Коричневый
100,color,Color,orange,orange,Оранжевий,Оранжевый
100,color,Color,pink,pink,Рожевий,Розовый
100,color,Color,raspberry,raspberry,Малиновий,Малиновый
100,color,Color,red,red,Червоний,Красный
100,color,Color,yellow,yellow,Жовтий,Жёлтый
100,cultivation,Cultivation,bee_pollinated,bee_pollinated,Бджолозапилюваний,Пчелоопыляемый
100,cultivation,Cultivation,greenhouse,greenhouse,Теплиця/укриття,Теплица/укрытия
100,cultivation,Cultivation,needs_trellis,needs_trellis,Потребує підв'язки,Требует подвязки
100,cultivation,Cultivation,no_pinch,no_pinch,Без пасинкування,Без пасынкования
100,cultivation,Cultivation,open_field,open_field,Відкритий ґрунт,Открытый грунт
100,cultivation,Cultivation,parthenocarpic,parthenocarpic,Партенокарпічний,Партенокарпический
100,growth,Growth,compact,compact,Компактний,Компактный
100,growth,Growth,determinate,determinate,Детермінантний,Детерминантный
100,growth,Growth,indeterminate,indeterminate,Індетермінантний,Индетерминантный
100,growth,Growth,short,short,Низькорослий,Низкорослый
100,growth,Growth,sprawling,sprawling,Розлогий,Раскидистый
100,growth,Growth,tall,tall,Високорослий,Высокорослый
100,maturity,Maturity,early,early,Ранній,Ранний
100,maturity,Maturity,early_maturing,early_maturing,Ранньостиглий,Раннеспелый
100,maturity,Maturity,late,late,Пізній,Поздний
100,maturity,Maturity,mid_early,mid_early,Середньоранній,Среднеранний
100,maturity,Maturity,mid_late,mid_late,Середньопізній,Среднепоздний
100,maturity,Maturity,mid_maturing,mid_maturing,Середньостиглий,Среднеспелый
100,resistance,Resistance,alternaria,alternaria,Альтернаріоз,Альтернариоз
100,resistance,Resistance,cold_tolerant,cold_tolerant,Холодостійкий,Холодостойкий
100,resistance,Resistance,disease_resistant,disease_resistant,Стійкий до хвороб,Устойчив к болезням
100,resistance,Resistance,drought_tolerant,drought_tolerant,Посухостійкий,Засухоустойчивый
100,resistance,Resistance,fusarium,fusarium,Фузаріоз,Фузариоз
100,resistance,Resistance,late_blight,late_blight,Фітофтороз,Фитофтороз
100,resistance,Resistance,powdery_mildew,powdery_mildew,Мучниста роса,Мучнистая роса
100,resistance,Resistance,septoria,septoria,Септоріоз,Септориоз
100,resistance,Resistance,shade_tolerant,shade_tolerant,Тіньовитривалий,Теневыносливый
100,shape,Shape,cylindrical,cylindrical,Циліндричний,Цилиндрический
100,shape,Shape,elongated,elongated,Подовжений,Удлинённый
100,shape,Shape,flat_round,flat_round,Плоскоокруглий,Плоскоокруглый
100,shape,Shape,oval,oval,Овальний,Овальный
100,shape,Shape,pear,pear,Грушоподібний,Грушевидный
100,shape,Shape,plum,plum,Сливка,Сливка
100,shape,Shape,round,round,Округлий,Округлый
100,texture,Texture,crunchy,crunchy,Хрусткий,Хрустящий
100,texture,Texture,firm,firm,Щільний,Плотный
100,texture,Texture,juicy,juicy,Соковитий,Сочный
100,texture,Texture,keeping,keeping,Лежкий,Лёжкий
100,texture,Texture,meaty,meaty,М'ясистий,Мясистый
100,texture,Texture,sweet,sweet,Солодкий,Сладкий
100,texture,Texture,transportable,transportable,Транспортабельний,Транспортабельный
100,traits,Traits,few_seeds,few_seeds,Малонасінневий,Малосемянный
100,traits,Traits,long_storage,long_storage,Довге зберігання,Долгое хранение
100,traits,Traits,no_green_shoulder,no_green_shoulder,Без зеленої плями біля плодоніжки,Без зелёного пятна у плодоножки
100,traits,Traits,thin_skin,thin_skin,Тонка шкірка,Тонкая кожура
100,usage,Usage,baby_food,baby_food,Дитяче харчування,Детское питание
100,usage,Usage,canning,canning,Консервування,Консервирование
100,usage,Usage,fresh,fresh,Свіже споживання,Свежее потребление
100,usage,Usage,juice,juice,Сік,Сок
100,usage,Usage,paste,paste,Паста,Паста
100,usage,Usage,pickling,pickling,Засолювання,Засолка
100,usage,Usage,salad,salad,Салатний,Салатный
100,usage,Usage,sauce,sauce,Соус,Соус
100,usage,Usage,universal,universal,Універсальний,Универсальный
100,yield,Yield,high_yield,high_yield,Високоврожайний,Высокоурожайный
100,yield,Yield,long_fruiting,long_fruiting,Тривале плодоношення,Длительное плодоношение
