id,title,description_long,category_id,subcategory_id,tags,weight,price,image
01001,Кавілі F1,"photos/photo_416@07-11-2020_21-14-19.jpg

RU: Кавили F1.Кустовой гибрид кабачка, используется для получения ультраранней и массовой продукции. Отличается длительным периодом плодоношения (около 2 месяцев). Плоды цилиндрические, очень прямые, бело-зеленые с белой мякотью, очень однородные, с нежным вкусом.",1,,,,,p_01001_1.jpg
01002,Амурський тигр,"Високорослий кущ з щільними плодами червоного кольору з подовженими жовтими рисками, тонко-шкірі з послідовним дозріванням. Стійк. до хвр.",1,,,,,p_01002_1.jpg
01003,пальчик,"photos/photo_147@19-10-2020_01-07-43.jpg

RU: Пальчик.Раннеспелый, пчело -опыляемый сорт. По урожайность превосходит в 2-3 раза все стандартные сорта. Растение
сильнорослое, средневетвистое, с пучковым расположением завязей. Зеленец удлиненно-элипсовидной формы 9-13см.",1,,,,,p_01003_1.jpg
21004,Перець для гриля Гриль -Стручок,"photos/photo_276@28-10-2020_19-58-18.jpg

RU: Перец для гриля Гриль -Стручок.Раннеспелый сорт для выращивания в открытом грунте, до технической спелости 105-108 дней. Куст высотой 40-60 сантиметров. Плод конусовидный, узкий, массой 80-90 грамм, в фазе биологической спелости - багрово-красного цвета, с толщиной стенок 5-6 миллиметров. Мякоть сочная, сладкая, без горечи, очень душистый,",21,,середній;ранній;сорт;високоврожайний,86-105,,p_21004_1.jpg
19006,Вкусовые качества хорошие,"6. Вкусовые качества хорошие. Ценится за высокую урожайность, дружное созревание плодов. Используют для потребления в свежем виде, изготовления томатного сока, пасты, пюре, а также для засолки. 21:31",19,,,,,p_19006_1.jpg
01009,ультраранній,"photos/photo_289@28-10-2020_23-26-28.jpg

RU: Ультраранний.Сверхранний. Вегетационный период 80-100 дней. Универсальный. Устойчив против основных болезней.
Лежкий. Транспортабельный. Плод грушевидный, массой 120-140 г. Урожайность 25-30 т/га. Вкусовые
качества высокие.",1,,,,,p_01009_1.jpg
01010,Вкус отличный,"10. Вкус отличный. Транспортабельность высокая. Лежкий, относительно устойчив к болезням. На рассаду высевают в начале марта. На постоянное место высаживают во второй декаде мая . 16:05",1,,,,,p_01010_1.jpg
13033,кольрабі Гігант,"photos/photo_223@25-10-2020_23-43-41.jpg

RU: Кольраби Гигант.Позднеспелый сорт. Период от всходов до технической спелости 100-120 дней. Плод крупный, округлый, диаметром 15-20см, белесо-зеленой окраски. Мякоть белого цвета, нежная и сочная, хороших вкусовых качеств. Масса продуктивной части 1,5-3кг. Сорт характеризуется высоко урожайностью.",13,,сорт,800,,p_13033_1.jpg
19042,Американский ребристый,"42. Американский ребристый. Новый супер - урожайный средне - спелый сорт томата, плоды крупные, огненно - красные относится к салатным сортам томатов. Отличается большой устойчивостью к фитофторозу, вес плода от 400гр до 1 кг. В пленочном укрытии урожай выше чем в открытом грунте, но можно использовать оба вида выращивания. М 18:20 Мама",19,,сорт,400000,,p_19042_1.jpg
21043,Аврора,"photos/photo_18@08-10-2020_18-20-38.jpg

RU: Аврора. Ультраскороспелый ,низкорослый сорт, от всходов до созревания 79 - 85 дней, детерминантный, плоды округлые интенсивно красного цвета без зеленого пятна у плодоножки. Урожайность 9 -12 кг с м2. Пригоден для всех видов  переработки ,устойчив к болезням.",21,,сорт,12000,,p_21043_1.jpg
