id,Название (укр),Название (рус),Описание (укр),Описание (рус),image
1,Амурський тигр,Амурский тигр                ,"Високорослий кущ з щільними плодами червоного кольору з подовженими жовтими рисками, тонко-шкірі з послідовним дозріванням. Стійк. до хвр.",,
2,Апельсин,Аппельсин,"Росліна висотою до 2-х метрів, плоди велікі жовті округлої форми,міцні,дозрівають добре в зібраному вигляді , ассою до 400гр ,сорт для алергіків..",,
3,Банан оранжевий. ,Банан оранжевой,"Ранній урожайний сорт, високорослий з мясистими плодами оранжевого кольору, плоді подовжені з солодким смаком,стійкий до хвороб.",,
4,Бичій лоб,Бычий лоб,"Середньо-стиглий сорт сибірської селекції індетермінантного типу для відкритого грунту плід округло-ребристий масою до 600гр, салатного типу..",,
5,Бояриня,Бояриня,"Один з нових сортів, високорослий, середньо-стиглий сорт плоди червоні округлі , придатний для переробки і вживання в свіжому вігляді",,
6,Ведмежа лапа,Медвежья лапа,"Оригінальний посухо - стійкий, середньопізній сорт ,вегетація 110 -115дн.Рослина індетермінантна1,5 -2,00м рожеві плоди 400-1200грам мас. ",,
7,Вишенька,Вишенка,"Середньо-стиглий сорт,індетермінантного типу, плодонош на 110-125 день від сходів,на китиці формуется 10-20 плодів ,масою 25-35гр червоний...",,
,,Воловое серде желтое,"Пізньо-стиглий сорт народної селекції, потребує підвязки, для відкритого грунту, плди великі мясисті,малонасінневі, жовті, салатні,смачні.",,
8,Волове серце оранжеве,Воловое сердце оранжевое,"Пізньо-стиглий сорт народної селекції, потребує  підвязки, для відкритого грунту,плоди великі,мясисті,малонасінневі, оранжеві, салатні, смачні",,
9,Волове серце рожеве,Воловое сердце розовое,"Пізньо-стиглий сорт народної селекції, потребує  підвязки, для відкритого грунту,плоди великі,мясисті,малонасінневі, рожеві, салатні, смачні",,
10,Волове серце рожево-малиновий,Воловое сердце малиновое,"Пізньо-стиглий сорт народної селекції , потребує підвязки, для відкритого грунту, плоди великі,мясисті,малонасінневі, малинові, салатні, смачні. ",,
11,Волове серце червоний,Воловое сердце красное,"Пізньо-стиглий сорт народної селекції , потребує підвязки, для відкритого грунту, плоди великі,мясисті,малонасінневі, червоні, салатні, смачні. ",,
12,Гігант лимонний,Гигант лимонный,"Пізньо-стиглий сорт народної селекції , потребує підвязки, для відкритого грунту, плоди великі, мясисті, малонасінневі,округлі,жовті до 800гр маса.",,
13,Дамські пальчики,Дамские пальчики,"Раньостигл. сорт,плодоношення починае на 100-110день від сходів,високоросла рослина,плоди витянуті , зібрані в китиці по 6-8 шт,рожеві, красиві.",,
14,Де барао оранжевий,Де Барао оранжевый,"Середньо-пізній сорт відкритого грунту,але має якості кімнатного вирощування, висотою до 2,5-3,00 м.Гроно розгалужене.Сливка оранжева,врож.",,
15,Де барао рожевий,Де Барао розовый,"Середньо-пізній сорт відкритого грунту,але має якості кімнатного вирощування, висотою до 2,5-3,00 м.Гроно розгалужене.Сливка рожева,врож.",,
16,Де барао тигровий,Де Барао тигровый,"Середньо-пізній для  відкритого грунту, має якості кімнатного вирощування,висотою до 2.5-3,0 м Гроно розгалужене Сливка ,чевона в зелен смужку",,
17,Де барао Царський,Де Барао Царский,"Середньо-пізній сорт відкритого грунту,висотою 2.5-3.0 м,розгалужене гроно дає до 20 плодів масою від100-200гр,Сливка жовта,врожайна,смачна.",,
18,Де барао Царський червоний,Де Барао Царский Красный,"Середньо-пізній сорт відкритого грунту, висотою 2.5-3.0 м, розгалужене гроно дає до 20 плодів масоб від 100-200гр.Сливка червона, врожайна.",,
19,Де барао червоний,Де Барао красный,"Середньо-пізній сорт відкритого грунту, має якості кімнатного вирощування,висотою до 2,5-3,0 м, гроно розгалужене,сливка червона, смачна.",,
20,Де барао чорний,Де Барао чёрный,"Середньо-пізній сорт відкритого грунту, має якості кімнатного вирощування,висотою до 2,5-3,0 м, гроно розгалужене,сливка чорна, смачна.",,
21,Жираф,Жыраф,"Пізній сорт, високорослий, плоди масою 80-90 гр. лежкі, дозрівають добре зібрані,мясисті ,помаранчового кольору, чудові в консервації, смачні.",,
22,Золоте сердце,Золотое сердце,"Середньо-пізній сорт ,вісокорослі, кущ добре розгалужений, вегетація 100-110 днів від сходів, плід відовженій, жовтий, для дитячого харчування.",,
23,Засолочне чудо,Засолочное чудо,"Середньо-стиглий сорт відкритого грунту підходить для масових насаджень , висота 1,3-1,5 м червоний,ринковий.транспортабельн.засолювал.",,
24,Корніївский,Корнеевский,"Середньоранній сорт, висота 1,3-1,6м.Плоди великі з тонкою шкірочкою, рожевий, соки,томати,пасти насиченого смаку.незаміний в салатах.",,
25,Мікадо,Микадо,"Середньо-стиглий сорт, висота 1,2-1,5м плоди рожево-червоні ,не розтріскуються, стійкі до хвороб. Ринковій засолювальній сорт  дуже врожайний.",,
26,Перцевидний оранжевий,Перцевидный оранжевый,"Середньо-пізній сорт народної селекції, врожайність до 10кг з одного куща висотою 1,8-2,0 м.,оранжевий, перцевидної форми , смачний.",,
27,Потрібний розмір,Нужный размер,"Середньо-стиглий сорт, вегетація 110-120 дн.червоний,плескато-округлої форми,ребристий високі смакові якості,для переробки и їстивний.",,
28,Принцеса Турандот,Принцеса Турандот,"Ранній урожайний сорт, високорослий з особливіми плодами грушовідної форми з солодким смаком,стійкий до хвороб,для дитячого харчування.",,
29,Рожевий гігант,Розовый гигант,"Середньо-пізній , високоврожайний сорт,плоди рожевого кольору масою до 200-300 гр.Смакові якості відмінні, використовують для томатів і  паст.",,
30,Рожевий слон,Розовый слон,"Пізній сорт, високорослий, розлогий міцній кущ , плоди рожеві,масою від 300гр іноді до 1кг,  смачні в салатах , і в томатних  виробах.",,
31,Рожевий фламінго,Розовый фламинго,"Скоростиглій сорт вегетація 90 днів від сходів,вісота рослини до 1м , плоди овальні,рожеві,без зеленої плями біля плодоніжки, смачні",,
32,Російський розмір,Русский размер,"Пізньо-стиглий (130-140) днів,індетермінантний гібрід з необмеженим ростом ,формовка в 1 стебло ,обовязкова підвязка,Стійкий до вірусів,червон.",,
33,Сливка гігант (оранжевий),Сливка гигант (оранжевый),"Середньостиглий урожайний сорт подовженного плодоношення, массою 150-180гр, тип  сливка, для консервування та вікористання в свіжім виляд.",,
34,Сливка гігант (червоний),Сливка гигант (красный),"Середньостиглий урожайний сорт подовженного плодоношення, массою 150-180гр, тип  сливка, для консервування та вікористання в свіжім виляд.",,
35,Слов'янський Шедевр,Словянский шедевр,"Середньо-стиглий сорт ,чудового томату, поеднання смакових властивостей та технічних досягнень , червоний масой 350-400гр,лежкий.",,
36,Чудо світу (лимон-ліана),Чудо света,"Середньо-стигла рослина з великою кількістью яскраво жовтого кольору плодів вагою від 60-120гр,з чудовим смаком,підвязка обовьязкова .",,
37,Сосулечка рожева,Сосулька розовая,"Середньо-ранній сорт, індетермінантного типу, висотою 1,80-2,00м,китиця формуе 6-8 плодів вагою 60-80гр, нагадує рожеву бурульку ,смачний.",,
38,Фейєрверк,Фейерверк,"Раньній сорт, видноситься до групи біф томатів, червоний, 270-300гр вагою, найсачнійший. Салати,бургери, барбекю це Фейерверк.",,
39,Хурма,Хурма,"Середньо- пізній сорт ,рослина високоросла, до 2,5 м.Кущ розлогий, міцний,плоди великі жовто-оранжеві 300-400гр дозарюють добре, солодкі.",,
40,Чорний принц,Чорный принц,"Середньо -пізній високорослий надзвичайно врожайний сорт ,плоди 250-300гр,приємні на смак,зелено-коричневого кольору,салатні.",,
41,Чорний слон,Чорный слон,"Середньо-пізній, високорослий сорт оригінального забарвлення від темно коричневого до насиченого бордового,до 400гр масою ,салатний.",,
42,Агата,Агата,"Універсальний сорт вже 30 років на ринку ні грама не поступається сортам нової селекції, вирощується і в відкритому грунті і в плівкових укриттях, не вимагає підв'язки, але потребує освітленості. Плоди щільні не розтріскуються, лежкие, м'якоть м'ясиста. При гарному догляді може дати 7 кг врожаю.","Универсальный сорт уже 30 лет на рынке ни грамма не уступает сортам новой селекции, выращивается и в открытом грунте и в пленочных укрытиях,не требует подвязки,  но нуждается в освещенности. Плоды плотные не растрескиваются ,лежкие , мякоть мясистая. При хорошем уходе может дать 7 кг урожая.",
43,американський ребристий,Американский ребристый,"Американський ребристий. Новий супер - урожайний середньо - стиглий сорт томата, плоди великі, вогненно - червоні відноситься до салатним сортам томатів. Відрізняється великою стійкістю до фітофторозу, вага плода від 400гр до 1 кг. У плівковому укритті урожай вище ніж у відкритому грунті, але можна використовувати обидва види вирощування.","Американский ребристый. Новый супер - урожайный средне - спелый сорт томата, плоды крупные,  огненно - красные относится к салатным сортам томатов. Отличается большой устойчивостью  к  фитофторозу, вес плода от 400гр до 1 кг. В пленочном укрытии урожай выше чем в открытом грунте, но можно использовать оба вида выращивания.",
44,Аврора,Аврора,"Аврора. Ультраскоростиглий, низькорослий сорт, від сходів до дозрівання 79 - 85 днів, детермінантний, плоди округлі інтенсивно червоного кольору без зеленої плями біля плодоніжки. Урожайність 9 -12 кг з м2. Придатний для всіх видів переробки, стійкий до хвороб.","Аврора. Ультраскороспелый ,низкорослый сорт, от всходов до созревания 79 - 85 дней, детерминантный, плоды округлые интенсивно красного цвета без зеленого пятна у плодоножки. Урожайность 9 -12 кг с м2. Пригоден для всех видов  переработки ,устойчив к болезням.",
45,Арізона,Аризона,"Арізона. Томат відрізняється тим що, можна садити не тільки розсадою, але і насінням у відкритий грунт, середньостиглий сорт, плід округлий, міцний масою від 100 140гр. Придатний для всіх видів переробок, дуже смачний в свіжому вигляді.","Аризона. Томат отличается тем что , можно сажать не только рассадой ,но и семенами  в открытый грунт, среднеспелый сорт,плод округлый,крепкий массой от 100- 140гр. Пригоден для всех видов переработок, очень вкусный в свежем виде.",
46,балада,Баллада,"Балада. Середньостиглий сорт для відкритого грунту, висаджується на добре прогріті ділянки захищені від холодних вітрів. Плід плоско округлої форми, темно - червоного кольору, массой130-180гр. Урожайний, транспортабельний, смачний.","Баллада. Среднеспелый сорт для открытого грунта,высаживается на хорошо прогретые участки защищенные от холодных ветров. Плод плоско округлой формы,  темно - красного цвета, массой130-180гр. Урожайный,транспортабельный, вкусный.",
47,Білий налив 241,Белый налив 241,"Білий налив 241. Ранньостиглий сорт відкритого грунту, характерний дуже дружним дозріванням, вирощується без пасинкування, врожайність до 8 кг / м2, число гнізд від 5 до 12. Плоди округлі слабо-ребристі, червоні масою 90-135гр. Смакові якості відмінні.","Белый налив 241. Раннеспелый сорт открытого грунта, отличителен очень дружным созреванием, выращивается без пасынкования ,урожайность до 8кг/ м2,число гнезд от 5 до 12. Плоды округлые слабо-ребристые,красные массой  90-135гр. Вкусовые качества отличные.",
48,Волгоградскій323,Волгоградский323,"Волгоградскій323. Базовий сорт, рослина насиченого темно зеленого забарвлення стебел, низька 40-50см. Плід круглий трохи приплюснутий темно червоного кольору, скоростиглий, салатного призначення. Віддає перевагу суглинні грунту. Дуже смачний для томатних соків, кетчупів, паст.","Волгоградский323. Базовый сорт, растение насыщенного темно- зеленого окраса стеблей ,низкое 40-50см. Плод круглый немного приплюснут темно красного цвета,скороспелый, салатного назначения. Предпочитает суглинистые почвы. Очень вкусен для  томатных  соков, кетчупов ,паст.",
49,Волгоградський 323,Волгоградский 323 ,"Волгоградський 323. Базовий сорт, рослина насиченого темно зеленого забарвлення стебел, дуже ранній. Плід округлий слабо плескатий темно червоного кольору, салатного призначення але і смачні томатні соки, кетчупи, пасти.","Волгоградский 323 . Базовый сорт, растение насыщенного темно зеленого окраса стеблей,очень ранний. Плод округлый слабо приплюснутый  темно красного цвета,салатного назначения но и вкусные томатные соки ,кетчупы ,пасты.",
50,Волгоградський 5/95,Волгоградский 5/95,"Волгоградський 5/95. Середньо пізній сорт відрізняється високою врожайністю. Плоди плоско, з насиченим червоним кольором, масою 90 / 150гр, Застосовується у виготовленні, томатних соків, паст і в консерваціі.Вкусовие якості відмінні.","Волгоградский 5/95. Средне поздний сорт отличается высокой урожайностью. Плоды плоскоокруглые ,с насыщенным красным цветом, массой  90/150гр, Применяется в изготовлении ,томатных соков, паст и в  консервации.Вкусовые качества отличные.",
51,Волгоградський рожевий,Волгоградский розовый,Волгоградський рожевий. Ранньостиглий сорт для вирощування у відкритому грунті вегетаційний період 95-100 днів Характеризується дружним дозріванням і гарною транспортабельністю.,Волгоградский розовый. Раннеспелый сорт для выращивания в  открытом грунте вегетационный период  95-100 дней Характеризуется  дружным созреванием и хорошей транспортабельностью.,
