id,number,title,short_description,long_description,category_id,subcategory,weight,price,image
01033,33,Сливка гигант красная,33.,"33. Сливка гигант красная.Плоды крупные сливо - видные вкусные , транспортабелные, употребляют в свежем  переработанном и консервированном виде.",1,,,,p_01033_1.jpg
01042,42,Американский ребристый,42.,"42. Американский ребристый. Новый супер - урожайный средне - спелый сорт томата, плоды крупные,  огненно - красные относится к салатным сортам томатов. Отличается большой устойчивостью  к  фитофторозу, вес плода от 400гр до 1 кг. В пленочном укрытии урожай выше чем в открытом грунте, но можно использовать оба вида выращивания.",1,Салатный,400000,,p_01042_1.jpg
09043,43,Аврора,43.,"43. Аврора. Ультраскороспелый ,низкорослый сорт, от всходов до созревания 79 - 85 дней, детерминантный, плоды округлые интенсивно красного цвета без зеленого пятна у плодоножки. Урожайность 9 -12 кг с м2. Пригоден для всех видов  переработки ,устойчив к болезням.",9,Ультраскороспелый,12000,,p_09043_1.jpg
01044,44,Аризона,44.,"44. Аризона. Томат отличается тем что , можно сажать не только рассадой ,но и семенами  в открытый грунт, среднеспелый сорт,плод округлый,крепкий массой от 100- 140гр. Пригоден для всех видов переработок, очень вкусный в свежем виде.",1,Среднеспелый,140,,p_01044_1.jpg
01047,47,Волгоградский323,47.,"47. Волгоградский323. Базовый сорт, растение насыщенного темно- зеленого окраса стеблей ,низкое 40-50см. Плод круглый немного приплюснут темно красного цвета,скороспелый, салатного назначения. Предпочитает суглинистые почвы. Очень вкусен для  томатных  соков, кетчупов ,паст.",1,Скороспелый,,,p_01047_1.jpg
09052,52,Шедевр Рудаса,52.,52. Шедевр Рудаса.  Селекционный сорт с очень длинным сроком хранения до 4 месяцев. Плоды среднего размера с плотной кожурой красно-оранжевого цвета мякоть имеет более интенсивную окраску . Сорт очень урожайний.,9,,,,p_09052_1.jpg
09058,58,Демидов,58.,"58. Демидов. Сорт относится к раннеспелым имеет характерную темно -зеленую окраску куста,  напоминающую куст картофеля. Плоды круглой формы с незначительной ребристостью , интенсивно розового.  цвета сорт достаточно устойчив к перепадам температур и влажности. Плоды  сладкие очень вкусные и красивые.",9,Раннеспелый,,,p_09058_1.jpg
01061,61,Эфемер F1,61.,"61. Эфемер F1. Раннеспелый детерминантный гибрид, максимум высота 70см. Плоды не крупные , но очень вкусные универсальные в использовании. Есть возможность получить два урожая за сезон  благодаря хорошей всхожести семян.",1,Гибрид,,,p_01061_1.jpg
01067,67,Колхозный,67.,"67. Колхозный. Популярный сорт среднего срока созревания. Растение низкорослое, полураскидистое.Плоды круглые, ровные, красные, массой 110-120г. Вкусовые качества хорошие,урожайность высокая. Пригоден для употребления в свежем виде, консервирования и дляпереработки.",1,,110-120,,p_01067_1.jpg
01084,84,Ранний 83,84.,"84. Ранний 83. Скороспелый сорт открытого грунта для использования в свежем виде и в переработке От всходов до созревания  103-110 дней Растение компактное высота 35-60см, плод округлый и слабо ребристый, хорошего вкуса.",1,Скороспелый,,,p_01084_1.jpg
01088,88,Рома VFN,88.,"88. Рома VFN. Среднеранний, детерминантный сорт. Вегетационный период от высадки рассады досбора урожая 75-80 дней. Плоды грушевидной формы, массой 60-70гр интенсивно-красные,транспортабельные, с высокими вкусовыми качествами, пригодны для потребления в свежем виде и переработки",1,,60-70,,p_01088_1.jpg
01093,93,Союз 8 F1,93.,"93. Союз 8 F1. гибрид для  открытого грунта, но часто используют посадку в пленочных укрытиях раннеспелый ,дружнего созревания . Плоды красные весом 120-150гр. Плоды используют как в сыром так и в переработанном виде. Вкусовые качества высоки.",1,Гибрид,120-150,,p_01093_1.jpg
01096,96,Факел,96.,"96. Факел. Среднеспелый сорт, плоды созревают на 112-127 день после появления всходов. Растениекомпактное, высотой 33-56 см. Плоды округлые, гладкие, красные, массой 60-90 г, число гнезд 4-6. Вкусовые качества хорошие. Ценится за высокую урожайность, дружноесозревание плодов. Используют для потребления в свежем виде, изготовления томатного сока, пасты, пюре, а также для засолки.",1,Среднеспелый,60-90,,p_01096_1.jpg
01098,98,Долгохранящийся,98.,"98. Долгохранящийся. Среднепоздний сорт ,среднерослый пригоден для выращивания в открытом грунте , влаго- устойчив не боится перепадов температур. Плоды плотные ,округло плоские, с плотной кожурой масса плода достигает от 120до 300гр ,окрас плода алый с оранжевым отливом.Собранные в октябре плоды могут хранится до нового года и более.",1,,300,,p_01098_1.jpg
01100,100,Бедуин,100.,"100. Бедуин. Средне-спелый высокорослый  индетерминантного типа,салатно -консервный сорт. Плоды грушевидной формы,весом от 90 до 110гр.Окраска зрелого плода буровато -коричневая. Очень вкусный сорт.",1,Салатный,110,,p_01100_1.jpg
