id,number,title,short_description,long_description,category_id,subcategory,weight,price,image
01001,1,Ранньостиглій гібрід формує пучкову завязь  крупногорбкуваті з ніжною шкірою без гіркоти,1.,1. Ранньостиглій гібрід формує пучкову завязь крупногорбкуваті з ніжною шкірою без гіркоти,1,,,,p_01001_1.jpg
01002,2,Пригоден для всех видов  переработки устойчив к болезням,2.,2. Пригоден для всех видов переработки устойчив к болезням,1,,,,p_01002_1.jpg
01003,3,Еще один фрукт который очень полезен осенью  инжир,3.,3. Еще один фрукт который очень полезен осенью инжир,1,,,,p_01003_1.jpg
21004,4,Масса плода 86-105 г,4.,"4. Масса плода 86-105 г 19:29 284 Калифорнийское чудо. Среднеспелый, высокоурожайный сорт. Для выращивания в пленочных теплицах и открытом грунте. Растения высотой 60-75 см. Плоды мясистые, кубовидной формы с ребристой поверхностью, ярко-красного цвета. 19:33 285 Ласточка.Раннеспелый. Техническая спелость наступает через 120-122 дня после всходов. Растение полураскидистое, штамбовое, среднерослое (45-50 см). Плоды пониклые, конусовидные, длиной 8-10 см, в технической спелости – светло-зеленые, в биологической – красные. 19:36",21,Раннеспелый,86-105,,p_21004_1.jpg
19006,6,Вкусовые качества хорошие,6.,"6. Вкусовые качества хорошие. Ценится за высокую урожайность, дружное созревание плодов. Используют для потребления в свежем виде, изготовления томатного сока, пасты, пюре, а также для засолки. 21:31",19,,,,p_19006_1.jpg
01009,9,В киви и манго  довольно много витамина K,9.,9. В киви и манго довольно много витамина K,1,,,,p_01009_1.jpg
01010,10,Вкус отличный,10.,"10. Вкус отличный. Транспортабельность высокая. Лежкий, относительно устойчив к болезням. На рассаду высевают в начале марта. На постоянное место высаживают во второй декаде мая . 16:05",1,,,,p_01010_1.jpg
13033,33,Сливка гигант красная,33.,"33. Сливка гигант красная.Плоды крупные сливо - видные вкусные , транспортабелные, употребляют в свежем переработанном и консервированном виде. 14 July 2020 М 18:23 Мама 18:24 Вова нам может такой надо ,кусторез безпроводный всего 800 гр 18:24 ,на аккамуляторе акамулятор заряжается 3 часа 18:25 Германия ,вроде должен быт хороший VG 19:05 Vladimir Gogunsky https://epicentrk.ua/ua/shop/trimmer-elektricheskiy-gartner-bce-1940.html 11 August 2020 М 14:43 Мама 14:44 БЛЕВО - Синий туман. 15 August 2020 М 17:04 Мама Я СОСУДОВ Отвар на основе сочетания целебных трав поможет вам укрепить сосуды, особенно это актуально для страдающих сахарным диабетом и вегетососудистой дистонией, а также всем тем, кого мучают головные боли от перенапряжения и стресса. Целебный травяной отвар – уникальный рецепт: Необходимо смешать в равных пропорциях пустырник, зверобой, корни валерианы и листья мелиссы, две столовые ложки смеси трав залить 300 мл кипящей воды, настаиваем в течение получаса, процеживаем. Принимать целебный отвар следует по 100 мл три раза в день за полчаса до еды. Курс исцеления – одна неделя. Пустырник снимет спазм сосудов, а также поможет успокоить нервную систему, нормализовать сердечный ритм, снизить артериальное давление и уровень холестерина в крови. Зверобой помогает восстановить поврежденные ткани, нормализовать сон, повысить работоспособность, сочетание зверобоя и мелиссы помогает нервной системе сосредоточиться на решение трудных задач. Валериана применяется при возбудимости нервной системе, проблемах со сном, сосудистых спазмах, повышенном давлении, головных болей и при общих нарушениях работы нервной системы, вызванных стрессами и расстройствами. Мелисса обладает выраженным успокаивающим действием, кроме того она прекрасный спазмолитик, помогает нормализовать работу сердечно-сосудистой системы и сон. 28 August 2020 М 17:54 Мама Свекла – это не только борщ, селёдка под «шубой» и винегрет. Но и огромная польза для здоровья. И особенно приятно, что это не какая-нибудь заморская экзотика, а родной суперпродукт, доступный для всех. Так считает Дмитрий Юрьевич Тимофеев, потомственный огородник, народный целитель, а в прошлом врач-эпидемиолог из Владимира. https://bit.ly/3b2tkA9 М 21:42 Мама Не выбрасывайте кофейную гущу.🤭Используйте ее в компосте Кофейная гуща также может укрепить садовый компост микроэлементами. Дополнительный фосфор, азот и калий на земле могут помочь вашим растениям превратить солнечный свет в энергию, а также сохранить влагу. Используйте ее в качестве избавления от вредителей Кофейная гуща может эффективно отражать садовых вредителей, особенно слизней и улиток. Посыпьте ею вокруг вашего сада, чтобы держать этих вредителей в страхе. Используйте как удобрения Вы также можете добавить кофейную гущу в почву. Это добавит органическое вещество, улучшит аэрацию и удержание воды. 21:52 🌶🥕🥝Свекла Детройт лидирует по вкусовым качествам среди среднеспелых сортов.ранние посадки дают более ранний урожай так называемый летний сбор, что позволяет использовать ее в блюдах практически круглый год тем более , свекла очен полезна. 13 September 2020 М 00:15 Мама Какие фрукты и овощи стоит есть осенью и зимой? Для полноценного питания отказываться от фруктов и овощей, даже привозных, не следует. Однако зимой желательно все же выбирать наиболее полезные продукты и обращать внимание на происхождение овощей и фруктов. Общеизвестно, что апельсины и мандарины организму нужны ради витамина C. Но этим их польза не исчерпывается. Апельсины и мандарины являются источником крайне важного витамина B",13,Среднеспелый,800,,p_13033_1.jpg
19042,42,Американский ребристый,42.,"42. Американский ребристый. Новый супер - урожайный средне - спелый сорт томата, плоды крупные, огненно - красные относится к салатным сортам томатов. Отличается большой устойчивостью к фитофторозу, вес плода от 400гр до 1 кг. В пленочном укрытии урожай выше чем в открытом грунте, но можно использовать оба вида выращивания. М 18:20 Мама",19,Салатный,400000,,p_19042_1.jpg
21043,43,Аврора,43.,"43. Аврора. Ультраскороспелый ,низкорослый сорт, от всходов до созревания 79 - 85 дней, детерминантный, плоды округлые интенсивно красного цвета без зеленого пятна у плодоножки. Урожайность 9 -12 кг с м",21,Ультраскороспелый,12000,,p_21043_1.jpg
